word,weight
good, 15345
Chinese, 8761
chicken, 6772
great, 6466
really, 5392
rice, 5234
time, 5151
service, 5049
soup, 4620
order, 4572
fried, 4366
menu, 4290
lunch, 4119
ordered, 4060
sauce, 3870
dishes, 3791
always, 3752
little, 3673
pretty, 3558
beef, 3474
try, 3420
pork, 3327
noodles, 3312
nice, 3176
dish, 3102
delicious, 3076
well, 3066
best, 3027
hot, 2812
spicy, 2798
shrimp, 2723
fresh, 2577
definitely, 2521
4, 2518
love, 2514
tasty, 2370
friendly, 2272
egg, 2212
bit, 2212
better, 2150
sum, 2121
people, 2112
meal, 2096
dim, 2056
dinner, 2047
Chicken, 2038
Vegas, 2036
again, 2030
price, 1968
first, 1950
right, 1947
over, 1903
places, 1877
noodle, 1857
few, 1854
most, 1843
times, 1837
want, 1835
still, 1824
favorite, 1822
off, 1814
sweet, 1782
Asian, 1736
tried, 1736
chinese, 1691
dumplings, 1690
fast, 1683
way, 1674
staff, 1669
lot, 1662
prices, 1659
night, 1631
flavor, 1630
give, 1624
sure, 1621
rolls, 1583
taste, 1564
meat, 1559
down, 1527
before, 1519
area, 1516
sushi, 1509
small, 1493
wait, 1487
table, 1479
authentic, 1462
enough, 1456
bad, 1452
stars, 1434
big, 1420
large, 1411
side, 1384
sour, 1381
quality, 1372
Great, 1359
recommend, 1357
Thai, 1355
items, 1352
different, 1350
portions, 1344
quite, 1316
see, 1302
excellent, 1301
tea, 1279
quick, 1270
clean, 1269
usually, 1266
experience, 1261
special, 1250
home, 1241
tofu, 1238
style, 1227
eating, 1226
family, 1203
new, 1197
looking, 1188
long, 1183
worth, 1161
buffet, 1144
happy, 1128
roll, 1116
decent, 1116
crispy, 1113
actually, 1112
last, 1111
duck, 1111
cheap, 1102
fish, 1102
amazing, 1101
crab, 1099
China, 1093
full, 1052
same, 1048
enjoyed, 1047
minutes, 1045
Good, 1041
probably, 1035
cooked, 1031
years, 1010
delivery, 1010
inside, 1003
served, 1002
awesome, 1000
location, 997
bowl, 997
Beef, 995
huge, 975
super, 971
those, 957
friends, 954
far, 954
visit, 947
friend, 945
spot, 938
thought, 932
veggies, 914
fan, 905
another, 899
dining, 898
kind, 896
perfect, 888
coming, 888
decided, 885
town, 874
busy, 868
broth, 861
wanted, 859
portion, 858
reasonable, 847
took, 846
used, 843
star, 841
yummy, 838
tasted, 836
flavorful, 835
orange, 834
mein, 833
selection, 832
feel, 831
specials, 831
white, 817
ask, 816
reviews, 815
should, 814
liked, 807
I'd, 806
I'll, 806
Food, 805
need, 800
steamed, 796
ordering, 794
once, 792
plate, 777
house, 777
decor, 776
enjoy, 775
curry, 775
green, 774
each, 767
pot, 763
strip, 758
salad, 758
look, 756
open, 754
couple, 753
especially, 753
vegetables, 752
drinks, 750
review, 748
chow, 740
must, 737
drink, 735
tables, 735
tender, 734
least, 732
Service, 730
bar, 725
almost, 724
broccoli, 724
atmosphere, 722
less, 717
amount, 717
server, 709
fun, 697
seafood, 697
pepper, 690
top, 689
garlic, 688
loved, 687
stuff, 685
options, 685
Mongolian, 678
close, 677
late, 675
check, 663
nothing, 659
ate, 659
expect, 656
hard, 654
water, 654
attentive, 654
Dim, 653
wonton, 652
variety, 648
extra, 634
choice, 633
half, 627
several, 627
Fried, 623
Pork, 621
BBQ, 621
left, 618
When, 614
hour, 611
free, 608
surprised, 601
lots, 600
high, 598
old, 597
Rice, 596
disappointed, 596
real, 594
outside, 594
size, 593
during, 592
name, 592
One, 590
put, 588
eaten, 586
greasy, 585
serve, 584
gave, 582
Phoenix, 580
flavors, 580
end, 579
use, 577
craving, 576
deal, 576
wife, 574
whole, 573
quickly, 572
group, 572
waitress, 572
Shrimp, 568
spring, 559
entrees, 555
perfectly, 555
part, 554
beans, 549
red, 546
fact, 542
Las, 542
reason, 541
typical, 540
Noodle, 538
dessert, 537
Soup, 537
entree, 537
priced, 536
ice, 533
black, 531
looked, 531
plus, 531
room, 530
bean, 529
appetizer, 528
done, 528
average, 527
seated, 527
regular, 527
plenty, 526
spice, 526
salty, 525
tell, 524
yet, 521
light, 520
wall, 520
cold, 517
bring, 512
course, 511
Noodles, 510
pick, 509
salt, 509
person, 508
chili, 507
stop, 507
meals, 506
through, 504
brown, 503
keep, 502
