word,weight
good, 45480
great, 46159
nice, 44861
well, 42272
pretty, 47168
love, 41029
friendly, 40800
bar, 40082
delicious, 38549
night, 37951
definitely, 36201
best, 35878
Vegas, 33085
chicken, 38685
right, 37122
few, 35764
lunch, 34658
cheese, 23999
fresh, 42939
better, 21879
sauce, 20116
sure, 27722
wait, 27577
pizza, 27314
say, 26800
lot, 26526
salad, 26248
small, 26238
side, 25237
dinner, 25200
never, 25152
meal, 23666
times, 22587
table, 22251
price, 21165
Great, 19560
happy, 38411
amazing, 38251
worth, 36690
favorite, 36496
burger, 36279
stars, 36261
different, 35859
beer, 35773
awesome, 35694
drink, 35664
long, 35022
enough, 34371
looking, 34356
prices, 34179
tried, 33860
recommend, 33852
breakfast, 33770
both, 33696
fun, 33676
quite, 33581
sweet, 33575
free, 33427
hotel, 32982
last, 32885
feel, 32872
bad, 32838
clean, 32615
atmosphere, 32584
things, 32443
said, 32431
excellent, 32346
large, 32121
sandwich, 31674
need, 31547
meat, 31429
visit, 31114
places, 31004
full, 30973
enjoyed, 30886
friends, 30882
bread, 30842
home, 29904
huge, 29748
perfect, 29391
check, 29245
taste, 28934
coffee, 28912
flavor, 28711
inside, 28469
super, 28462
store, 28276
those, 28155
spot, 28155
strip, 28062
actually, 28052
quality, 27890
top, 27637
away, 27198
sushi, 27030
wine, 26971
outside, 26854
thought, 26820
cool, 26804
found, 26800
probably, 26548
friend, 26401
work, 26358
usually, 26229
minutes, 26009
items, 25971
dish, 25959
special, 25865
wanted, 25771
kind, 25549
fried, 25304
show, 25301
enjoy, 25249
cream, 25052
same, 24856
steak, 24601
look, 24413
line, 24406
each, 24397
fan, 24278
couple, 24090
open, 24034
through, 23782
busy, 23707
server, 23648
music, 23607
loved, 23603
served, 23420
decided, 23379
old, 23344
rice, 23168
dishes, 22882
dessert, 22826
beef, 22685
far, 22542
town, 22523
tables, 22231
spicy, 22199
cooked, 22187
half, 22164
quick, 21851
stay, 21831
liked, 21771
high, 21703
decent, 21694
star, 21623
soup, 21414
walk, 21353
course, 21269
Good, 21191
fast, 21057
end, 21021
especially, 21011
fish, 20952
buffet, 20906
chocolate, 20732
used, 20692
years, 20634
coming, 20573
parking, 20399
review, 20172
pork, 20122
part, 20093
options, 19950
use, 19706
ice, 19668
almost, 19624
hard, 19620
makes, 19550
house, 19530
dining, 19446
stop, 19316
having, 19223
must, 19148
front, 19119
least, 19112
eating, 19083
close, 19073
asked, 18970
pool, 18850
deal, 18754
looked, 18719
family, 18698
shrimp, 18687
stuff, 18590
own, 18584
done, 18478
put, 18470
water, 18342
style, 18262
able, 18241
sit, 18103
shop, 18097
cheap, 17890
plate, 17799
